Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
32,25,124,25,8,False,636431,5.000061273574829,0.51953125
32,25,124,50,16,False,473649,5.0001630783081055,17.9140625
32,25,124,75,24,False,377569,5.000191926956177,3.93359375
32,50,248,12.5,4,True,7,0.00010919570922851562,0.0
32,50,248,25,8,False,474263,5.000085115432739,15.33203125
32,50,248,50,16,False,378101,5.000082015991211,14.98046875
32,50,248,75,24,False,315137,5.0000669956207275,2.2734375
32,75,372,12.5,4,True,7,0.0001239776611328125,0.0
32,75,372,25,8,False,365353,5.000121831893921,0.0234375
32,75,372,50,16,False,305595,5.000153064727783,0.203125
32,75,372,75,24,False,263690,5.000182867050171,16.76953125
33,12.5,66,12.5,4,True,19789,0.09039926528930664,0.02734375
33,12.5,66,25,8,False,798959,5.000135183334351,15.0625
33,12.5,66,50,16,False,559480,5.000063180923462,7.234375
33,12.5,66,75,24,False,431984,5.000077962875366,38.94921875
33,25,132,12.5,4,True,1290,0.008446931838989258,0.0
33,25,132,25,8,False,607126,5.000065803527832,10.046875
33,25,132,50,16,False,457981,5.000162124633789,6.34765625
33,25,132,75,24,False,369117,5.000171899795532,7.828125
33,50,264,12.5,4,True,236,0.0023360252380371094,0.0
33,50,264,25,8,False,450569,5.000075101852417,1.91796875
33,50,264,50,16,False,362415,5.000183820724487,3.140625
33,50,264,75,24,False,303130,5.00009298324585,5.0078125
33,75,396,12.5,4,True,20,0.00029778480529785156,0.0
33,75,396,25,8,False,350805,5.000063180923462,5.921875
33,75,396,50,16,False,295245,5.000080108642578,11.62109375
33,75,396,75,24,False,255136,5.000065088272095,2.12109375
34,12.5,70,12.5,4,False,1075292,5.000170946121216,2.125
34,12.5,70,25,8,False,783757,5.0001890659332275,22.63671875
34,12.5,70,50,17,False,534009,5.000186204910278,9.48046875
34,12.5,70,75,25,False,415717,5.000179052352905,4.68359375
34,25,140,12.5,4,True,3307,0.021773099899291992,0.0
34,25,140,25,8,False,595274,5.000154733657837,10.97265625
34,25,140,50,17,False,439643,5.000077724456787,0.35546875
34,25,140,75,25,False,356501,5.000179052352905,3.55078125
34,50,280,12.5,4,True,56,0.0005917549133300781,0.0
34,50,280,25,8,False,441197,5.000155925750732,9.6328125
34,50,280,50,17,False,348959,5.000174283981323,0.95703125
34,50,280,75,25,False,294638,5.000083923339844,0.03125
34,75,421,12.5,4,True,26,0.0003941059112548828,0.0
34,75,421,25,8,False,335817,5.000071048736572,0.40234375
34,75,421,50,17,False,279911,5.000071048736572,9.05859375
34,75,421,75,25,False,244041,5.000158071517944,12.62890625
35,12.5,74,12.5,4,False,1057942,5.000169992446899,0.1640625
35,12.5,74,25,8,False,762537,5.00018310546875,0.88671875
35,12.5,74,50,17,False,528060,5.000166893005371,0.1484375
35,12.5,74,75,26,False,400823,5.000176191329956,0.45703125
35,25,149,12.5,4,True,1698,0.011433124542236328,0.0
35,25,149,25,8,False,585775,5.000058174133301,0.04296875
35,25,149,50,17,False,435560,5.000070810317993,0.0546875
35,25,149,75,26,False,345042,5.000173807144165,18.94140625
35,50,298,12.5,4,True,12,0.0001690387725830078,0.0
35,50,298,25,8,False,423821,5.000166177749634,11.55859375
35,50,298,50,17,False,340392,5.000168800354004,1.140625
35,50,298,75,26,False,282250,5.000158071517944,0.609375
35,75,446,12.5,4,True,4,0.00014972686767578125,0.0078125
35,75,446,25,8,False,272370,5.000146865844727,8.9375
35,75,446,50,17,False,236806,5.000165224075317,9.515625
35,75,446,75,26,False,206561,5.0001561641693115,0.74609375
36,12.5,79,12.5,4,False,1038395,5.000187873840332,0.11328125
36,12.5,79,25,9,False,715760,5.000175952911377,0.98828125
36,12.5,79,50,18,False,503451,5.000180006027222,0.828125
36,12.5,79,75,27,False,386306,5.000178813934326,5.53125
36,25,158,12.5,4,True,4968,0.033663034439086914,0.00390625
36,25,158,25,9,False,552611,5.000071048736572,9.6484375
36,25,158,50,18,False,416468,5.000121831893921,0.24609375
36,25,158,75,27,False,333605,5.00019907951355,1.1328125
36,50,315,12.5,4,True,85,0.0009639263153076172,0.0
36,50,315,25,9,False,393758,5.00014328956604,0.20703125
36,50,315,50,18,False,320213,5.00008487701416,0.03515625
36,50,315,75,27,False,267985,5.000147342681885,2.06640625
36,75,472,12.5,4,True,81,0.0015060901641845703,0.0
36,75,472,25,9,False,257881,5.000154733657837,2.7265625
36,75,472,50,18,False,225258,5.0000879764556885,0.0859375
36,75,472,75,27,False,197450,5.000080823898315,0.01171875
37,12.5,83,12.5,4,True,54134,0.2939929962158203,0.32421875
37,12.5,83,25,9,False,657983,5.0000739097595215,0.15234375
37,12.5,83,50,18,False,475537,5.000064849853516,0.1015625
37,12.5,83,75,27,False,370653,5.000157833099365,0.046875
37,25,166,12.5,4,True,6087,0.042088985443115234,0.0
37,25,166,25,9,False,545547,5.00006103515625,7.35546875
37,25,166,50,18,False,413236,5.000078916549683,2.58203125
37,25,166,75,27,False,330980,5.000082969665527,8.83984375
37,50,333,12.5,4,True,21,0.00027370452880859375,0.0
37,50,333,25,9,False,385771,5.000065088272095,1.296875
37,50,333,50,18,False,314501,5.000076055526733,1.140625
37,50,333,75,27,False,264567,5.000097036361694,6.703125
